response_id,date,channel,region,country,store_id,nps_score,comment_text,segment,product_category
R00107,2025-04-07,Support,US,US,US-US-011,10,Online ordering was simple and delivery was on time.,Business,iPhone
R00108,2025-10-24,Store,EU,ES,EU-ES-015,1,Got what I needed but it took some time.,Existing,Mac
R00109,2025-05-23,Online,US,US,US-US-029,10,"Amazing experience overall, I will recommend to others.",Business,iPad
R00110,2024-02-20,Store,EU,DE,EU-DE-020,9,"Great product experience, everything worked as expected.",Business,Services
R00111,2024-04-14,Store,US,US,US-US-024,10,I was impressed with the product quality and attention to detail.,Existing,iPhone
R00112,2025-03-13,Online,APAC,JP,APAC-JP-019,9,"Checkout was smooth and fast, very satisfied.",Existing,iPhone
R00113,2025-04-21,Online,EU,NL,EU-NL-010,9,"Amazing experience overall, I will recommend to others.",New Customer,iPhone
R00114,2024-03-10,Online,EU,UK,EU-UK-030,10,I was impressed with the product quality and attention to detail.,Business,Apple Watch
R00115,2025-08-23,Online,US,US,US-US-017,6,Website was confusing and I almost gave up.,Existing,iPad
R00116,2025-02-09,Store,US,US,US-US-016,10,"Loved the in-store demo, made my decision easy.",New Customer,Mac
R00117,2025-06-02,Support,APAC,SG,APAC-SG-002,9,"Great product experience, everything worked as expected.",Existing,iPad
R00118,2024-06-22,Online,US,US,US-US-008,7,Overall acceptable experience.,New Customer,iPad
R00119,2025-08-01,Online,EU,IT,EU-IT-015,7,Support agent resolved my issue quickly and professionally.,Existing,iPad
R00120,2025-04-07,Store,US,US,US-US-023,7,Website was fine but could be more intuitive.,New Customer,iPhone
R00121,2025-11-05,Support,APAC,AU,APAC-AU-012,10,Online ordering was simple and delivery was on time.,Existing,iPhone
R00122,2024-06-11,Store,EU,ES,EU-ES-013,10,"Great customer service, felt valued as a customer.",Existing,iPad
R00123,2025-01-05,Store,US,US,US-US-007,9,Online ordering was simple and delivery was on time.,Existing,Mac
R00124,2025-05-06,Online,US,US,US-US-006,10,I was impressed with the product quality and attention to detail.,New Customer,Services
R00125,2025-02-15,Store,APAC,IN,APAC-IN-025,10,Staff was extremely helpful and friendly.,New Customer,iPad
R00126,2025-04-11,Online,US,US,US-US-029,9,Very clear explanations and patient staff.,Business,iPhone
R00127,2024-06-22,Online,EU,ES,EU-ES-026,9,"Loved the in-store demo, made my decision easy.",Existing,Services
R00128,2025-06-21,Store,APAC,AU,APAC-AU-018,7,Website was fine but could be more intuitive.,Business,Apple Watch
R00129,2025-04-19,Store,APAC,AU,APAC-AU-024,7,Website was fine but could be more intuitive.,New Customer,Mac
R00130,2024-05-12,Store,APAC,JP,APAC-JP-013,10,Staff was extremely helpful and friendly.,Existing,iPad
R00131,2024-12-09,Store,US,US,US-US-009,9,"Checkout was smooth and fast, very satisfied.",Business,iPad
R00132,2025-04-22,Store,US,US,US-US-018,9,Online ordering was simple and delivery was on time.,Existing,Apple Watch
R00133,2024-08-03,Online,US,US,US-US-005,9,"Great customer service, felt valued as a customer.",Business,Services
R00134,2025-05-25,Store,EU,DE,EU-DE-019,7,Website was fine but could be more intuitive.,Existing,Apple Watch
R00135,2024-02-02,Store,APAC,KR,APAC-KR-017,9,Very clear explanations and patient staff.,Existing,iPhone
R00136,2025-02-28,Online,EU,ES,EU-ES-004,10,"Checkout was smooth and fast, very satisfied.",Business,iPhone
R00137,2025-05-27,Online,US,US,US-US-023,10,I was impressed with the product quality and attention to detail.,Business,Apple Watch
R00138,2024-07-19,Store,US,US,US-US-026,4,The store was overcrowded and disorganized.,Existing,Services
R00139,2025-01-26,Store,APAC,SG,APAC-SG-023,0,"Checkout process kept failing, very frustrating.",Existing,iPhone
R00140,2024-05-29,Store,EU,IT,EU-IT-016,7,I was impressed with the product quality and attention to detail.,Existing,iPhone
R00141,2024-08-17,Support,EU,DE,EU-DE-017,5,Delivery was delayed and communication was poor.,New Customer,iPhone
R00142,2025-05-13,Online,APAC,JP,APAC-JP-013,10,Support agent resolved my issue quickly and professionally.,New Customer,Mac
R00143,2025-07-25,Store,US,US,US-US-020,10,Very clear explanations and patient staff.,New Customer,iPad
R00144,2025-08-15,Store,US,US,US-US-020,10,"Checkout was smooth and fast, very satisfied.",Business,Services
R00145,2025-04-22,Store,US,US,US-US-024,8,Things worked but could be smoother.,Existing,Services
R00146,2024-08-23,Online,US,US,US-US-007,9,I was impressed with the product quality and attention to detail.,Existing,Mac
R00147,2024-08-28,Store,EU,ES,EU-ES-022,9,"Amazing experience overall, I will recommend to others.",New Customer,iPhone
R00148,2024-06-23,Store,US,US,US-US-019,9,Very clear explanations and patient staff.,Existing,Mac
R00149,2024-05-01,Store,US,US,US-US-015,8,"The process was average, neither good nor bad.",New Customer,Services
R00150,2025-06-23,Store,US,US,US-US-012,7,Overall acceptable experience.,New Customer,Mac
R00151,2024-06-13,Store,US,US,US-US-006,7,Very clear explanations and patient staff.,New Customer,Services
R00152,2024-10-31,Online,US,US,US-US-012,10,Support agent resolved my issue quickly and professionally.,New Customer,iPhone
R00153,2024-02-12,Online,APAC,IN,APAC-IN-012,3,Things worked but could be smoother.,New Customer,Mac
R00154,2024-01-02,Store,EU,DE,EU-DE-021,9,"Great customer service, felt valued as a customer.",New Customer,Apple Watch
R00155,2024-10-20,Online,US,US,US-US-025,10,Staff was extremely helpful and friendly.,New Customer,iPad
R00156,2025-07-07,Store,APAC,AU,APAC-AU-006,9,I was impressed with the product quality and attention to detail.,Existing,Services
R00157,2024-10-18,Support,APAC,SG,APAC-SG-002,7,The store was a bit crowded but manageable.,Existing,iPhone
R00158,2025-10-02,Store,US,US,US-US-023,9,Support agent resolved my issue quickly and professionally.,Business,Apple Watch
R00159,2025-03-18,Online,APAC,AU,APAC-AU-016,10,"Great product experience, everything worked as expected.",Existing,Services
R00160,2024-08-18,Online,US,US,US-US-012,10,Support agent resolved my issue quickly and professionally.,Existing,Services
R00161,2025-01-12,Online,APAC,KR,APAC-KR-005,10,Online ordering was simple and delivery was on time.,Existing,iPhone
R00162,2025-01-09,Store,EU,ES,EU-ES-010,10,"Great customer service, felt valued as a customer.",Existing,Services
R00163,2024-02-20,Online,EU,NL,EU-NL-016,2,"Experience was okay, nothing special.",Existing,iPhone
R00164,2024-04-14,Support,US,US,US-US-011,8,"Amazing experience overall, I will recommend to others.",New Customer,iPad
R00165,2025-08-16,Store,APAC,SG,APAC-SG-017,8,Website was fine but could be more intuitive.,New Customer,Mac
R00166,2024-05-17,Online,EU,FR,EU-FR-019,9,"Amazing experience overall, I will recommend to others.",Existing,Services
R00167,2025-10-09,Online,US,US,US-US-026,7,I was impressed with the product quality and attention to detail.,New Customer,Apple Watch
R00168,2025-06-30,Online,EU,FR,EU-FR-009,8,"Checkout was smooth and fast, very satisfied.",Existing,iPad
R00169,2025-08-22,Store,APAC,AU,APAC-AU-005,9,"Great product experience, everything worked as expected.",New Customer,Apple Watch
R00170,2024-08-02,Support,EU,FR,EU-FR-010,10,"Checkout was smooth and fast, very satisfied.",Existing,iPhone
R00171,2024-09-25,Store,US,US,US-US-030,4,Website was fine but could be more intuitive.,New Customer,Apple Watch
R00172,2024-08-26,Support,EU,NL,EU-NL-013,6,Got my issue resolved but had to wait.,New Customer,iPhone
R00173,2025-10-10,Store,APAC,SG,APAC-SG-017,8,"Great product experience, everything worked as expected.",Existing,Services
R00174,2025-05-01,Online,APAC,AU,APAC-AU-030,2,Had to wait too long for assistance in store.,Existing,iPhone
R00175,2025-06-03,Store,US,US,US-US-001,10,Very clear explanations and patient staff.,Existing,Apple Watch
R00176,2024-06-11,Online,US,US,US-US-003,3,Experience was decent but room for improvement.,New Customer,Services
R00177,2025-01-09,Store,US,US,US-US-002,10,Online ordering was simple and delivery was on time.,Business,iPhone
R00178,2025-08-19,Store,APAC,JP,APAC-JP-021,10,Staff was extremely helpful and friendly.,Existing,Mac
R00179,2024-07-10,Store,EU,DE,EU-DE-012,3,Website was fine but could be more intuitive.,Existing,iPad
R00180,2025-10-20,Store,US,US,US-US-003,9,"Amazing experience overall, I will recommend to others.",Business,Mac
R00181,2024-08-02,Online,US,US,US-US-022,7,"Great customer service, felt valued as a customer.",New Customer,iPhone
R00182,2024-12-19,Store,EU,ES,EU-ES-027,3,I had to repeat my issue multiple times to different agents.,Existing,Services
R00183,2024-05-24,Store,EU,UK,EU-UK-003,2,Overall acceptable experience.,New Customer,iPhone
R00184,2024-05-03,Support,US,US,US-US-017,9,"Loved the in-store demo, made my decision easy.",Business,Mac
R00185,2024-10-22,Store,US,US,US-US-020,10,Online ordering was simple and delivery was on time.,New Customer,Services
R00186,2024-09-09,Online,EU,UK,EU-UK-019,10,Online ordering was simple and delivery was on time.,Business,Apple Watch
R00187,2025-08-02,Support,EU,ES,EU-ES-021,0,Delivery was delayed and communication was poor.,Business,Services
R00188,2024-08-25,Store,EU,UK,EU-UK-017,5,Experience was decent but room for improvement.,New Customer,Services
R00189,2024-05-28,Support,EU,FR,EU-FR-020,9,Online ordering was simple and delivery was on time.,Existing,Mac
R00190,2024-01-17,Support,EU,FR,EU-FR-022,4,The store was overcrowded and disorganized.,Existing,Mac
R00191,2024-02-24,Online,APAC,JP,APAC-JP-016,0,Got my issue resolved but had to wait.,New Customer,Services
R00192,2025-09-26,Store,US,US,US-US-022,8,Things worked but could be smoother.,Business,iPhone
R00193,2025-07-21,Store,APAC,AU,APAC-AU-020,10,Online ordering was simple and delivery was on time.,New Customer,Services
R00194,2024-05-17,Online,EU,DE,EU-DE-007,10,"Loved the in-store demo, made my decision easy.",Existing,iPad
R00195,2025-07-07,Store,EU,DE,EU-DE-008,10,Support agent resolved my issue quickly and professionally.,Business,Mac
R00196,2024-01-16,Store,APAC,IN,APAC-IN-022,9,Very clear explanations and patient staff.,New Customer,Services
R00197,2025-08-08,Store,US,US,US-US-001,8,Support answered my questions but felt a bit slow.,Business,Mac
R00198,2025-06-03,Support,APAC,JP,APAC-JP-007,9,"Checkout was smooth and fast, very satisfied.",Existing,iPhone
R00199,2025-01-06,Support,US,US,US-US-022,6,Website was confusing and I almost gave up.,New Customer,iPad
R00200,2024-03-10,Store,US,US,US-US-026,10,I was impressed with the product quality and attention to detail.,Business,iPhone
R00201,2024-03-27,Support,US,US,US-US-030,10,"Loved the in-store demo, made my decision easy.",Existing,Mac
R00202,2024-10-28,Support,EU,DE,EU-DE-028,7,Website was fine but could be more intuitive.,Existing,Mac
R00203,2025-03-12,Online,EU,UK,EU-UK-017,1,Got my issue resolved but had to wait.,Existing,Services
R00204,2024-11-06,Store,US,US,US-US-015,10,"Great product experience, everything worked as expected.",New Customer,iPhone
R00205,2024-07-15,Online,APAC,JP,APAC-JP-006,7,Support answered my questions but felt a bit slow.,New Customer,iPhone
R00206,2025-03-07,Support,US,US,US-US-020,10,I was impressed with the product quality and attention to detail.,Existing,Apple Watch
R00207,2024-01-20,Store,US,US,US-US-009,7,Got what I needed but it took some time.,New Customer,Mac
R00208,2025-06-05,Online,US,US,US-US-001,9,Support agent resolved my issue quickly and professionally.,New Customer,Services
R00209,2025-08-12,Store,EU,DE,EU-DE-007,2,The store was a bit crowded but manageable.,New Customer,Apple Watch
R00210,2025-03-03,Store,US,US,US-US-009,7,Support agent resolved my issue quickly and professionally.,New Customer,iPhone
R00211,2024-03-11,Online,EU,IT,EU-IT-005,6,"Experience was okay, nothing special.",Existing,iPhone
R00212,2024-02-04,Store,US,US,US-US-028,10,Very clear explanations and patient staff.,Existing,Apple Watch
R00213,2024-10-27,Store,APAC,KR,APAC-KR-020,10,I was impressed with the product quality and attention to detail.,Existing,iPad
R00214,2025-03-09,Store,APAC,SG,APAC-SG-009,3,Things worked but could be smoother.,New Customer,Services
R00215,2024-06-17,Support,US,US,US-US-019,7,"Amazing experience overall, I will recommend to others.",New Customer,Services
R00216,2025-07-10,Online,EU,UK,EU-UK-009,10,Support agent resolved my issue quickly and professionally.,New Customer,Apple Watch
R00217,2025-01-03,Store,APAC,IN,APAC-IN-021,9,"Checkout was smooth and fast, very satisfied.",Existing,Services
R00218,2025-02-06,Online,US,US,US-US-010,9,Staff was extremely helpful and friendly.,Business,iPhone
R00219,2024-12-08,Store,US,US,US-US-025,7,Very clear explanations and patient staff.,Existing,Mac
R00220,2025-07-03,Store,US,US,US-US-028,9,Support agent resolved my issue quickly and professionally.,Existing,Apple Watch
R00221,2024-10-23,Store,EU,NL,EU-NL-020,10,Very clear explanations and patient staff.,Existing,Apple Watch
R00222,2024-05-29,Support,US,US,US-US-011,0,Things worked but could be smoother.,New Customer,iPhone
R00223,2024-02-15,Store,US,US,US-US-023,9,Online ordering was simple and delivery was on time.,New Customer,Mac
R00224,2024-05-13,Online,EU,NL,EU-NL-015,8,"Checkout was smooth and fast, very satisfied.",Existing,Mac
R00225,2024-01-20,Store,APAC,KR,APAC-KR-014,10,Online ordering was simple and delivery was on time.,Existing,iPad
R00226,2025-10-26,Store,APAC,JP,APAC-JP-022,8,"Great product experience, everything worked as expected.",New Customer,Services
R00227,2024-09-16,Store,US,US,US-US-024,7,Very clear explanations and patient staff.,Existing,iPhone
R00228,2024-09-17,Online,US,US,US-US-022,10,Very clear explanations and patient staff.,Business,iPad
R00229,2024-06-07,Support,EU,DE,EU-DE-006,7,"The process was average, neither good nor bad.",New Customer,Apple Watch
R00230,2024-03-29,Store,US,US,US-US-021,3,Got my issue resolved but had to wait.,Business,Apple Watch
R00231,2025-10-05,Online,EU,FR,EU-FR-025,9,I was impressed with the product quality and attention to detail.,Existing,Mac
R00232,2024-10-01,Support,US,US,US-US-016,8,"The process was average, neither good nor bad.",Existing,iPad
R00233,2025-06-15,Support,US,US,US-US-008,10,"Great product experience, everything worked as expected.",Existing,Apple Watch
R00234,2025-01-22,Support,EU,UK,EU-UK-004,1,Website was fine but could be more intuitive.,New Customer,Services
R00235,2025-01-02,Store,US,US,US-US-028,8,Overall acceptable experience.,New Customer,iPhone
R00236,2025-06-20,Store,EU,NL,EU-NL-004,9,I was impressed with the product quality and attention to detail.,New Customer,Mac
R00237,2025-01-24,Store,US,US,US-US-003,9,"Great product experience, everything worked as expected.",New Customer,Apple Watch
R00238,2024-05-02,Store,US,US,US-US-006,0,The store was a bit crowded but manageable.,Existing,Mac
R00239,2025-08-01,Online,US,US,US-US-005,2,Experience was decent but room for improvement.,New Customer,Mac
R00240,2024-04-14,Online,EU,FR,EU-FR-002,9,Online ordering was simple and delivery was on time.,Existing,iPad
R00241,2025-04-13,Online,US,US,US-US-002,9,I was impressed with the product quality and attention to detail.,Existing,Services
R00242,2025-08-21,Support,APAC,SG,APAC-SG-008,4,Experience was decent but room for improvement.,Existing,Services
R00243,2024-01-21,Store,US,US,US-US-024,8,I was impressed with the product quality and attention to detail.,Business,Services
R00244,2025-05-22,Support,US,US,US-US-010,9,Very clear explanations and patient staff.,New Customer,Services
R00245,2025-02-27,Online,US,US,US-US-028,9,"Loved the in-store demo, made my decision easy.",Business,iPhone
R00246,2025-05-09,Store,EU,IT,EU-IT-002,8,I was impressed with the product quality and attention to detail.,Business,iPad
R00247,2024-09-28,Store,US,US,US-US-028,7,Experience was decent but room for improvement.,Existing,iPad
R00248,2024-10-24,Store,US,US,US-US-019,9,Online ordering was simple and delivery was on time.,New Customer,Apple Watch
R00249,2025-05-27,Store,APAC,IN,APAC-IN-021,9,"Great customer service, felt valued as a customer.",New Customer,Mac
R00250,2024-12-17,Support,US,US,US-US-011,8,Overall acceptable experience.,Existing,iPad
R00251,2024-09-03,Online,APAC,SG,APAC-SG-011,2,"The process was average, neither good nor bad.",New Customer,Apple Watch
R00252,2024-03-06,Store,US,US,US-US-025,5,Delivery was delayed and communication was poor.,Business,Apple Watch
R00253,2025-06-15,Online,EU,UK,EU-UK-029,10,Staff was extremely helpful and friendly.,Existing,Apple Watch
R00254,2025-07-25,Online,APAC,IN,APAC-IN-009,10,"Checkout was smooth and fast, very satisfied.",Existing,iPad
R00255,2025-08-08,Support,US,US,US-US-006,10,"Amazing experience overall, I will recommend to others.",Existing,iPhone
R00256,2024-06-23,Support,EU,NL,EU-NL-030,1,Experience was decent but room for improvement.,Business,iPhone
R00257,2024-02-12,Store,US,US,US-US-025,8,"Great customer service, felt valued as a customer.",Existing,Apple Watch
R00258,2024-11-21,Online,US,US,US-US-030,9,Online ordering was simple and delivery was on time.,Existing,iPad
